id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
KABUPATEN_INDRAMAYU,35.42,27.8,9.81,1988.62,29.0,27.28,1.14,Kabupaten Indramayu Margadadi,Indramayu,Jawa Barat,Jawa,WIB,65.0,2024-02-27,11:00:02
KABUPATEN_BEKASI,25.12,25.05,45.51,1677.41,40.85,10.24,39.34,Kabupaten Bekasi Sukamahi,Kabupaten Bekasi,Jawa Barat,JAWA,WIB,62.0,2024-02-27,10:00:00
DLH_MEDAN_01,21.71,25.36,19.73,1036.47,45.76,92.44,23.29,DLH MEDAN 01,Medan,Sumatera Utara,SUMATERA,WIB,62.0,2024-02-27,11:00:00
KABUPATEN_KOTAWARINGINTIMUR,5.19,4.79,82.71,661.79,55.52,41.0,54.7,Kabupaten Kotawaringin Timur,Kabupaten Kotawaringin Timur,Kalimantan Tengah,KALIMANTAN,WIB,62.0,2024-02-27,11:00:00
MAKASSAR,3.65,3.12,46.44,1116.71,46.27,54.98,56.98,Makassar Ujung Pandang,Makassar,Sulawesi Selatan,SULAWESI_MALUKU,WITA,61.0,2024-02-27,12:00:00
BENGKULU,14.0,7.0,5.62,1329.58,139.77,91.1,,Bengkulu Singaran Pati,Bengkulu,Bengkulu,SUMATERA,WIB,59.0,2024-02-27,11:00:00
MALANG,0.0,14.77,74.62,1017.58,30.77,20.77,56.32,Malang Taman Riau,Malang,Jawa Timur,JAWA,WIB,59.0,2024-02-27,11:00:00
JAKARTA,34.17,22.73,5.83,646.27,65.19,18.46,24.88,Jakarta GBK,Jakarta,DKI Jakarta,JAWA,WIB,59.0,2024-02-27,11:00:00
KABUPATEN_ROKANHILIR,12.88,11.4,52.33,550.75,51.98,40.0,53.27,Kabupaten Rokan Hilir Bangko,Rokan Hilir,Riau,SUMATERA,WIB,58.0,2024-02-27,11:00:00
PADANG,20.35,21.56,0.0,2860.17,22.81,25.02,18.94,Padang Padang Pasir,Padang,Sumatera Barat,SUMATERA,WIB,58.0,2024-02-27,11:00:00
